test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.52172636985779 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.74632453918457 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.54553532600403 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.453169107437134 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.36035966873169 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.09992432594299 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.928972244262695 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.76605439186096 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.51506233215332 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.55987238883972 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.58086109161377 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.7441508769989 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.83354377746582 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.36326456069946 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.413100481033325 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.69430446624756 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.62556052207947 time
